station,valid,tmpf,dwpf,relh,drct,sknt,p01i,alti,mslp,vsby,gust,skyc1,skyc2,skyc3,skyc4,skyl1,skyl2,skyl3,skyl4,wxcodes,ice_accretion_1hr,ice_accretion_3hr,ice_accretion_6hr,peak_wind_gust,peak_wind_drct,peak_wind_time,feel,metar
ACT,2021-02-07 00:00,,,,330.00,11.00,,29.94,,10.00,17.00,CLR,,,,,,,,,,,,,,,,KACT 070000Z AUTO 33011G17KT 10SM CLR 16/03 A2994 RMK T01600030 MADISHF
ACT,2021-02-07 00:05,,,,330.00,11.00,,29.94,,10.00,,CLR,,,,,,,,,,,,,,,,KACT 070005Z AUTO 33011KT 10SM CLR 16/03 A2994 RMK T01600030 MADISHF
ACT,2021-02-07 00:10,,,,320.00,10.00,,29.94,,10.00,15.00,CLR,,,,,,,,,,,,,,,,KACT 070010Z AUTO 32010G15KT 10SM CLR 16/03 A2994 RMK T01600030 MADISHF
ACT,2021-02-07 00:15,,,,320.00,11.00,,29.94,,10.00,17.00,CLR,,,,,,,,,,,,,,,,KACT 070015Z AUTO 32011G17KT 10SM CLR 16/02 A2994 RMK T01600020 MADISHF
ACT,2021-02-07 00:20,,,,320.00,13.00,,29.95,,10.00,,CLR,,,,,,,,,,,,,,,,KACT 070020Z AUTO 32013KT 10SM CLR 16/02 A2995 RMK T01600020 MADISHF
ACT,2021-02-07 00:25,,,,330.00,11.00,,29.95,,10.00,,CLR,,,,,,,,,,,,,,,,KACT 070025Z AUTO 33011KT 10SM CLR 16/02 A2995 RMK T01600020 MADISHF
ACT,2021-02-07 00:30,,,,330.00,9.00,,29.95,,10.00,,CLR,,,,,,,,,,,,,,,,KACT 070030Z AUTO 33009KT 10SM CLR 14/02 A2995 RMK T01400020 MADISHF
ACT,2021-02-07 00:35,,,,340.00,8.00,,29.96,,10.00,,CLR,,,,,,,,,,,,,,,,KACT 070035Z AUTO 34008KT 10SM CLR 14/02 A2995 RMK T01400020 MADISHF
ACT,2021-02-07 00:40,,,,340.00,9.00,,29.96,,10.00,,CLR,,,,,,,,,,,,,,,,KACT 070040Z AUTO 34009KT 10SM CLR 14/02 A2995 RMK T01400020 MADISHF
ACT,2021-02-07 00:45,,,,350.00,9.00,,29.96,,10.00,,CLR,,,,,,,,,,,,,,,,KACT 070045Z AUTO 35009KT 10SM CLR 14/03 A2995 RMK T01400030 MADISHF
ACT,2021-02-07 00:50,,,,350.00,8.00,,29.96,,10.00,,CLR,,,,,,,,,,,,,,,,KACT 070050Z AUTO 35008KT 10SM CLR 13/03 A2995 RMK T01300030 MADISHF
ACT,2021-02-07 00:51,55.90,37.00,48.95,350.00,8.00,0.00,29.97,1014.50,10.00,,CLR,,,,,,,,,,,,,,,,KACT 070051Z 35008KT 10SM CLR 13/03 A2997 RMK AO2 SLP145 T01330028
ACT,2021-02-07 00:55,,,,340.00,9.00,,29.97,,10.00,,CLR,,,,,,,,,,,,,,,,KACT 070055Z AUTO 34009KT 10SM CLR 13/03 A2996 RMK T01300030 MADISHF
ACT,2021-02-07 01:00,,,,340.00,8.00,,29.97,,10.00,,CLR,,,,,,,,,,,,,,,,KACT 070100Z AUTO 34008KT 10SM CLR 13/03 A2996 RMK T01300030 MADISHF
ACT,2021-02-07 01:05,,,,340.00,8.00,,29.98,,10.00,,CLR,,,,,,,,,,,,,,,,KACT 070105Z AUTO 34008KT 10SM CLR 13/03 A2997 RMK T01300030 MADISHF
ACT,2021-02-07 01:10,,,,350.00,8.00,,29.98,,10.00,,CLR,,,,,,,,,,,,,,,,KACT 070110Z AUTO 35008KT 10SM CLR 13/03 A2997 RMK T01300030 MADISHF
ACT,2021-02-07 01:15,,,,340.00,7.00,,29.98,,10.00,,CLR,,,,,,,,,,,,,,,,KACT 070115Z AUTO 34007KT 10SM CLR 12/03 A2997 RMK T01200030 MADISHF
ACT,2021-02-07 01:20,,,,350.00,8.00,,29.98,,10.00,,CLR,,,,,,,,,,,,,,,,KACT 070120Z AUTO 35008KT 10SM CLR 12/03 A2997 RMK T01200030 MADISHF
ACT,2021-02-07 01:25,,,,350.00,8.00,,29.98,,10.00,,CLR,,,,,,,,,,,,,,,,KACT 070125Z AUTO 35008KT 10SM CLR 12/03 A2997 RMK T01200030 MADISHF
ACT,2021-02-07 01:30,,,,360.00,9.00,,29.98,,10.00,,CLR,,,,,,,,,,,,,,,,KACT 070130Z AUTO 36009KT 10SM CLR 12/03 A2997 RMK T01200030 MADISHF
ACT,2021-02-07 01:35,,,,360.00,7.00,,29.99,,10.00,,CLR,,,,,,,,,,,,,,,,KACT 070135Z AUTO 36007KT 10SM CLR 12/03 A2998 RMK T01200030 MADISHF
ACT,2021-02-07 01:40,,,,360.00,5.00,,30.00,,10.00,,CLR,,,,,,,,,,,,,,,,KACT 070140Z AUTO 36005KT 10SM CLR 11/03 A3000 RMK T01100030 MADISHF
ACT,2021-02-07 01:45,,,,360.00,8.00,,30.00,,10.00,,CLR,,,,,,,,,,,,,,,,KACT 070145Z AUTO 36008KT 10SM CLR 11/03 A3000 RMK T01100030 MADISHF
ACT,2021-02-07 01:50,,,,360.00,10.00,,30.00,,10.00,,CLR,,,,,,,,,,,,,,,,KACT 070150Z AUTO 36010KT 10SM CLR 12/03 A3000 RMK T01200030 MADISHF
ACT,2021-02-07 01:51,53.10,37.90,56.17,360.00,9.00,0.00,30.00,1015.60,10.00,,CLR,,,,,,,,,,,,,,,,KACT 070151Z 36009KT 10SM CLR 12/03 A3000 RMK AO2 SLP156 T01170033
ACT,2021-02-07 01:55,,,,360.00,10.00,,30.00,,10.00,,CLR,,,,,,,,,,,,,,,,KACT 070155Z AUTO 36010KT 10SM CLR 12/03 A3000 RMK T01200030 MADISHF
ACT,2021-02-07 02:00,,,,10.00,10.00,,30.00,,10.00,,CLR,,,,,,,,,,,,,,,,KACT 070200Z AUTO 01010KT 10SM CLR 11/03 A3000 RMK T01100030 MADISHF
ACT,2021-02-07 02:05,,,,10.00,11.00,,30.00,,10.00,,CLR,,,,,,,,,,,,,,,,KACT 070205Z AUTO 01011KT 10SM CLR 11/03 A3000 RMK T01100030 MADISHF
ACT,2021-02-07 02:10,,,,10.00,11.00,,30.01,,10.00,,CLR,,,,,,,,,,,,,,,,KACT 070210Z AUTO 01011KT 10SM CLR 11/03 A3001 RMK T01100030 MADISHF
ACT,2021-02-07 02:15,,,,10.00,11.00,,30.01,,10.00,,CLR,,,,,,,,,,,,,,,,KACT 070215Z AUTO 01011KT 10SM CLR 11/03 A3001 RMK T01100030 MADISHF
ACT,2021-02-07 02:20,,,,10.00,11.00,,30.01,,10.00,,CLR,,,,,,,,,,,,,,,,KACT 070220Z AUTO 01011KT 10SM CLR 11/03 A3001 RMK T01100030 MADISHF
