station,valid,tmpf,dwpf,relh,drct,sknt,p01i,alti,mslp,vsby,gust,skyc1,skyc2,skyc3,skyc4,skyl1,skyl2,skyl3,skyl4,wxcodes,ice_accretion_1hr,ice_accretion_3hr,ice_accretion_6hr,peak_wind_gust,peak_wind_drct,peak_wind_time,feel,metar
DFW,2021-02-07 00:00,,,,,15.00,,29.97,,10.00,,OVC,,,,3300.00,,,,,,,,,,,,KDFW 070000Z AUTO ///15KT 10SM OVC033 11/04 A2996 RMK T01100040 MADISHF
DFW,2021-02-07 00:05,,,,,15.00,,29.97,,10.00,,OVC,,,,3300.00,,,,,,,,,,,,KDFW 070005Z AUTO ///15KT 10SM OVC033 11/04 A2996 RMK T01100040 MADISHF
DFW,2021-02-07 00:10,,,,,16.00,,29.97,,10.00,,OVC,,,,3300.00,,,,,,,,,,,,KDFW 070010Z AUTO ///16KT 10SM OVC033 11/04 A2996 RMK T01100040 MADISHF
DFW,2021-02-07 00:15,,,,,13.00,,29.96,,10.00,18.00,OVC,,,,3300.00,,,,,,,,,,,,KDFW 070015Z AUTO ///13G18KT 10SM OVC033 11/04 A2995 RMK T01100040 MADISHF
DFW,2021-02-07 00:20,,,,,15.00,,29.96,,10.00,,OVC,,,,3200.00,,,,,,,,,,,,KDFW 070020Z AUTO ///15KT 10SM OVC032 10/04 A2995 RMK T01000040 MADISHF
DFW,2021-02-07 00:25,,,,,14.00,,29.97,,10.00,,OVC,,,,3200.00,,,,,,,,,,,,KDFW 070025Z AUTO ///14KT 10SM OVC032 10/04 A2996 RMK T01000040 MADISHF
DFW,2021-02-07 00:30,,,,360.00,11.00,,29.97,,10.00,17.00,OVC,,,,3200.00,,,,,,,,,,,,KDFW 070030Z AUTO 36011G17KT 10SM OVC032 10/04 A2996 RMK T01000040 MADISHF
DFW,2021-02-07 00:35,,,,,16.00,,29.98,,10.00,21.00,OVC,,,,3200.00,,,,,,,,,,,,KDFW 070035Z AUTO ///16G21KT 10SM OVC032 10/04 A2997 RMK T01000040 MADISHF
DFW,2021-02-07 00:40,,,,,17.00,,29.98,,10.00,22.00,OVC,,,,3100.00,,,,,,,,,,,,KDFW 070040Z AUTO ///17G22KT 10SM OVC031 10/04 A2997 RMK T01000040 MADISHF
DFW,2021-02-07 00:45,,,,,15.00,,29.98,,10.00,,OVC,,,,3100.00,,,,,,,,,,,,KDFW 070045Z AUTO ///15KT 10SM OVC031 10/03 A2997 RMK T01000030 MADISHF
DFW,2021-02-07 00:50,,,,,13.00,,29.98,,10.00,,BKN,,,,3100.00,,,,,,,,,,,,KDFW 070050Z AUTO ///13KT 10SM BKN031 10/03 A2997 RMK T01000030 MADISHF
DFW,2021-02-07 00:53,50.00,37.90,62.98,360.00,14.00,0.00,29.99,1015.30,10.00,,BKN,,,,3100.00,,,,,,,,,,,,KDFW 070053Z 36014KT 10SM BKN031 10/03 A2999 RMK AO2 SLP153 T01000033
DFW,2021-02-07 00:55,,,,360.00,11.00,,29.99,,10.00,,OVC,,,,3000.00,,,,,,,,,,,,KDFW 070055Z AUTO 36011KT 10SM OVC030 10/03 A2998 RMK T01000030 MADISHF
DFW,2021-02-07 01:00,,,,360.00,13.00,,29.99,,10.00,,OVC,,,,3000.00,,,,,,,,,,,,KDFW 070100Z AUTO 36013KT 10SM OVC030 09/03 A2998 RMK T00900030 MADISHF
DFW,2021-02-07 01:05,,,,20.00,14.00,,29.99,,10.00,,OVC,,,,2900.00,,,,,,,,,,,,KDFW 070105Z AUTO 02014KT 10SM OVC029 09/03 A2998 RMK T00900030 MADISHF
DFW,2021-02-07 01:10,,,,10.00,13.00,,30.00,,10.00,,BKN,,,,2900.00,,,,,,,,,,,,KDFW 070110Z AUTO 01013KT 10SM BKN029 09/03 A3000 RMK T00900030 MADISHF
DFW,2021-02-07 01:11,48.90,37.90,65.62,10.00,11.00,0.00,30.00,,10.00,,BKN,,,,2900.00,,,,,,,,,,,43.82,KDFW 070111Z 01011KT 10SM BKN029 09/03 A3000 RMK AO2 T00940033
DFW,2021-02-07 01:15,,,,10.00,9.00,,30.00,,10.00,,BKN,,,,2900.00,,,,,,,,,,,,KDFW 070115Z AUTO 01009KT 10SM BKN029 09/04 A3000 RMK T00900040 MADISHF
DFW,2021-02-07 01:20,,,,10.00,7.00,,30.00,,10.00,,BKN,,,,2900.00,,,,,,,,,,,,KDFW 070120Z AUTO 01007KT 10SM BKN029 09/04 A3000 RMK T00900040 MADISHF
DFW,2021-02-07 01:25,,,,10.00,7.00,,30.00,,10.00,,BKN,,,,2900.00,,,,,,,,,,,,KDFW 070125Z AUTO 01007KT 10SM BKN029 09/04 A3000 RMK T00900040 MADISHF
DFW,2021-02-07 01:30,,,,20.00,8.00,,30.01,,10.00,,BKN,,,,3300.00,,,,,,,,,,,,KDFW 070130Z AUTO 02008KT 10SM BKN033 09/04 A3001 RMK T00900040 MADISHF
DFW,2021-02-07 01:33,48.90,39.00,68.51,20.00,9.00,0.00,30.01,,10.00,,BKN,,,,3300.00,,,,,,,,,,,44.53,KDFW 070133Z 02009KT 10SM BKN033 09/04 A3001 RMK AO2 T00940039
DFW,2021-02-07 01:35,,,,20.00,9.00,,30.01,,10.00,,BKN,,,,3300.00,,,,,,,,,,,,KDFW 070135Z AUTO 02009KT 10SM BKN033 09/04 A3001 RMK T00900040 MADISHF
DFW,2021-02-07 01:40,,,,10.00,8.00,,30.01,,10.00,,BKN,,,,3300.00,,,,,,,,,,,,KDFW 070140Z AUTO 01008KT 10SM BKN033 09/04 A3001 RMK T00900040 MADISHF
DFW,2021-02-07 01:45,,,,360.00,10.00,,30.02,,10.00,,BKN,,,,3300.00,,,,,,,,,,,,KDFW 070145Z AUTO 36010KT 10SM BKN033 09/04 A3002 RMK T00900040 MADISHF
