AAAD,-34.917,138.517,4
AAWR,-31.133,136.8,167
ABBN,-27.417,153.067,6
ABCV,-26.417,146.267,304
ABGL,-23.85,151.267,76
ABMA,-20.633,139.467,342
ABTL,-19.25,146.75,6
ACCC,-12.002,96.817,3
ADDN,-12.4,130.867,30
ADGV,-12.267,136.817,54
AGGA,-8.703,160.682,2
AGGC,-6.712,156.396,1
AGGH,-9.428,160.055,9
AGGK,-10.45,161.898,23
AGGL,-10.72,165.795,24
AGGM,-8.328,157.263,6
AGGN,-8.098,156.864,4
AGGR,-11.534,160.063,11
AHBR,-17.933,122.217,9
AHPD,-20.367,118.617,11
AMHB,-42.817,147.005,3
AMLV,-37.85,144.717,14
AMMG,-37.717,140.767,69
AMMQ,-54.467,158.917,6
ANAU,-0.55,166.917,7
ANYN,-0.547,166.919,7
APAL,-34.95,117.783,69
APCR,-24.883,113.007,7
APDN,-12.4,130.867,30
APFT,-30.817,128.083,160
APKG,-30.767,121.45,360
APPH,-31.917,115.95,12
ASAS,-23.8,133.9,544
ASLH,-31.517,159.067,6
ASNF,-29.017,167.917,109
ASNW,-34.95,150.517,110
ASSY,-33.95,151.002,3
ASWG,-35.133,147.433,213
ASWM,-32.767,151.817,11
AYGA,-6.082,145.392,1587
AYGN,-10.311,150.334,27
AYMD,-5.207,145.789,12
AYMH,-5.827,144.296,1642
AYMO,-2.062,147.424,4
AYNZ,-6.57,146.726,70
AYPY,-9.443,147.22,47
AYRB,-4.217,152.002,9
AYVN,-2.693,141.303,4
AYWK,-3.584,143.669,6
AZUH,39.183,45.45,855
BGAA,68.722,-52.785,41
BGAM,65.612,-37.618,52
BGAS,60.597,-45.382,16
BGAT,67.941,-53.622,23
BGBW,61.16,-45.426,26
BGCH,68.823,-51.173,76
BGCO,70.743,-22.65,10
BGDB,74.283,-20.217,44
BGDH,76.767,-18.007,12
BGDU,76.005,-70.15,20
BGEM,68.7,-52.75,47
BGFD,60.005,-44.657,23
BGFH,61.992,-49.662,16
BGGD,61.217,-48.117,29
BGGH,64.191,-51.678,70
BGGN,69.251,-53.515,24
BGHB,66.917,-53.007,9
BGJH,60.716,-46.03,34
BGJN,69.243,-51.057,25
BGKK,65.567,-37.133,34
BGKT,68.858,-53.123,41
BGMQ,65.412,-52.939,15
BGMV,72.25,-24.317,10
BGNN,60.142,-45.233,20
BGNS,60.917,-46.06,30
BGPC,60.017,-43.117,19
BGPT,62.017,-49.007,2
BGQQ,77.489,-69.389,19
BGSC,70.488,-21.972,66
BGSF,67.012,-50.712,53
BGSS,66.951,-53.729,50
BGST,70.811,-51.631,24
BGTL,76.531,-68.703,77
