siteID,lat,lon,elev,slp,temp,sky,dpt,wx,wdr,wsp
KPLD,40.45,-84.983,282.0,1012.53,5.0,0.0,-1.0,,280.0,9.0
KINF,28.8,-82.317,15.0,1018.63,24.0,0.0,10.0,,0.0,0.0
KM25,36.767,-88.583,160.0,1016.26,16.0,0.0,5.0,,170.0,8.0
KSTF,33.433,-88.85,102.0,1018.63,21.0,0.0,-1.0,,300.0,5.0
KDYA,32.467,-87.95,34.0,1018.63,22.8,0.0,-2.5,,0.0,0.0
KI43,38.983,-82.583,221.0,1012.87,11.0,0.0,-1.0,,250.0,9.0
KC62,41.467,-85.25,306.0,1010.5,5.6,0.0,0.0,,250.0,13.0
KMCX,40.717,-86.767,206.0,1013.21,4.1,0.0,-0.7,,240.0,8.0
K27K,38.233,-84.433,289.0,1014.56,12.0,0.0,0.0,,260.0,11.0
K8W2,38.65,-78.7,297.0,1007.45,13.9,0.5,-4.8,,250.0,15.0
KO22,38.033,-120.417,646.0,1020.66,18.0,0.0,2.0,,230.0,5.0
KVER,38.95,-92.683,218.0,1011.18,19.2,0.0,3.1,,180.0,11.0
OAKB,34.566,69.212,1791.0,1019.0,7.0,0.0,-2.0,,120.0,2.0
KLBE,40.276,-79.405,361.0,1007.45,7.0,1.0,0.0,,240.0,13.0
KUES,43.05,-88.25,278.0,1008.81,6.0,0.0,-2.0,,240.0,8.0
KGYY,41.616,-87.413,180.0,1011.51,8.0,0.5,0.0,,230.0,10.0
PAKU,70.331,-149.598,2.0,1017.27,-37.0,0.25,nan,,110.0,6.0
KS71,48.6,-109.25,736.0,1011.51,0.0,0.0,0.0,,240.0,9.0
KPO1,48.133,-105.002,621.0,1006.77,2.0,0.0,-2.0,,330.0,21.0
KS59,48.283,-115.483,793.0,1016.93,3.0,0.0,-8.0,,0.0,0.0
K1A5,35.217,-83.417,616.0,1016.26,18.5,0.0,-4.2,,300.0,8.0
KBBG,36.532,-93.201,397.0,1012.87,22.0,0.0,-4.0,,200.0,10.0
KCWA,44.778,-89.667,389.0,1006.44,4.0,0.75,-1.0,,250.0,12.0
KFFA,36.018,-75.671,4.0,1009.82,14.8,0.0,1.3,,270.0,7.0
KMMU,40.799,-74.415,57.0,1002.37,6.0,1.0,1.0,,230.0,7.0
KRID,39.757,-84.843,348.0,1012.87,6.0,0.0,2.0,,280.0,12.0
LATI,41.415,19.721,90.0,1033.0,6.0,0.0,4.0,,150.0,3.0
KCGF,41.565,-81.486,268.0,1008.47,5.0,0.5,-1.0,,270.0,18.0
KCHD,33.269,-111.811,379.0,1016.26,22.0,0.75,-8.0,,0.0,0.0
KCWF,30.217,-93.15,4.0,1019.98,22.0,0.0,3.0,,180.0,11.0
KMWA,37.755,-89.011,144.0,1014.9,16.0,0.0,2.0,,200.0,5.0
KVQQ,30.219,-81.877,25.0,1018.63,23.0,0.0,-3.0,,340.0,4.0
PASA,63.686,-170.493,16.0,1009.5,-15.0,1.0,-16.7,-SN,80.0,18.0
MMMX,19.436,-99.072,2238.0,1024.72,24.0,0.5,-7.0,,50.0,12.0
VNKT,27.697,85.359,1337.0,1016.0,12.0,0.25,10.0,BR,nan,2.0
KAID,40.109,-85.613,280.0,1013.21,7.0,0.0,0.0,,270.0,9.0
OSDI,33.411,36.516,605.0,1022.0,7.0,0.0,-2.0,,40.0,6.0
OSLK,35.401,35.949,48.0,1022.0,12.0,0.0,0.0,,30.0,6.0
LMML,35.857,14.478,91.0,1034.0,11.0,0.0,9.0,,nan,2.0
CYPX,60.051,-77.287,23.0,989.5,-8.0,1.0,-8.0,-SN,320.0,13.0
CYAY,51.392,-56.083,28.0,1003.1,-3.0,0.5,-6.0,,140.0,12.0
K1S5,46.333,-119.967,234.0,1023.71,10.8,0.75,-2.8,,260.0,19.0
K2J9,30.6,-84.55,69.0,1019.64,21.0,0.0,-1.0,,nan,3.0
KBRY,37.817,-85.5,204.0,1014.22,15.0,0.0,0.0,,280.0,7.0
KEKX,37.717,-85.867,230.0,1014.9,15.0,0.0,0.6,,290.0,8.0
KESN,38.804,-76.069,22.0,1007.11,13.0,0.0,2.0,,240.0,10.0
KMER,37.381,-120.568,57.0,1021.0,16.0,0.5,9.0,,0.0,0.0
KMWC,43.11,-88.034,227.0,1008.81,7.0,0.0,-3.0,,250.0,13.0
KNQA,35.357,-89.87,86.0,1016.26,20.0,0.0,1.0,,220.0,8.0
KRCZ,34.891,-79.76,109.0,1013.21,17.9,0.0,0.0,,250.0,12.0
